File;Begin Time - hh:mm:ss.ms;Trial;Part;Subject;Scope;Words;Gesture;Dimension;Handshape;N Hands;Comment;Speech;Translation;comment;Grammar;General comments;
swe11;00:01:16.959;2;1;none;Brightness;;;;;;;det fÌ¦rsta Ì_r ljusare Ì_n den andra;;;;;
swe11;00:01:17.490;2;1;none;Brightness;ljusare;1;none;none;1;;det fÌ¦rsta Ì_r ljusare Ì_n den andra;;;;;
swe11;00:01:18.037;2;1;none;Brightness;andra;1;vert;other;1;;det fÌ¦rsta Ì_r ljusare Ì_n den andra;;;;;
swe11;00:01:23.620;2;;;;high;0;;;;;;;;;;
swe11;00:01:27.165;2;;;;;;;;;G height;;;;;;
swe11;00:02:12.870;3;;;;;;;;;;;;;;;
swe11;00:02:16.346;3;1;none;Height;;;;;;;det fÌ¦rsta Ì_r superhÌ¦gt och det sista Ì_r .. Ì_r.. Ì_r. vÌ_ldigt vÌ_ldigt lÌ´gt;;;;;
swe11;00:02:17.210;3;1;none;Height;hÌ¦gt;0;;;;;det fÌ¦rsta Ì_r superhÌ¦gt och det sista Ì_r .. Ì_r.. Ì_r. vÌ_ldigt vÌ_ldigt lÌ´gt;;;;;
swe11;00:02:21.250;3;1;none;Height;lÌ´gt;0;;;;;det fÌ¦rsta Ì_r superhÌ¦gt och det sista Ì_r .. Ì_r.. Ì_r. vÌ_ldigt vÌ_ldigt lÌ´gt;;;;;
swe11;00:02:25.225;3;;;;low;0;;;;;;;;;;
swe11;00:02:31.133;3;;;;low;1;;;;;;;;;;
swe11;00:02:33.470;3;;;;low;1;;;;;;;;;;
swe11;00:02:40.866;3;;;;;0;;;;"not sure, upwards gesture precedes ""high""";;;;;;
