"";"File";"Begin.Time...hh.mm.ss.ms";"Trial";"Part";"Subject";"Scope";"Words";"Gesture";"Dimension";"Handshape";"N.Hands";"Comment";"Speech";"Translation";"comment";"Grammar";"General.comments";"Language"
"1476";"swe19";"00:06:15.520";"14";"1";"none";"Height";"lägre";"1";"vert";"flat H";1;NA;"det f̦rsta var lite h̦gre liksom . och sen. den andra lite l�_gre";NA;NA;NA;NA;"Swedish"
"1481";"swe19";"00:06:34.050";"15";"1";"gender";"Brightness";"ljus";"0";NA;NA;NA;NA;"det f̦rsta l�_t som en eh eh ljus mansk̦r";NA;NA;NA;NA;"Swedish"
"1484";"swe19";"00:06:39.300";"15";"2";"gender";"Brightness";"ljus";"1";NA;NA;NA;NA;"det andra. som en kvinnok̦r som ocks̴ var ljus";NA;NA;NA;NA;"Swedish"
"1485";"swe19";"00:06:39.300";"15";"2";"gender";"Brightness";"ljus";"1";"vert";"flat H";1;NA;"det andra. som en kvinnok̦r som ocks̴ var ljus";NA;NA;NA;NA;"Swedish"
"1491";"swe19";"00:07:13.420";"16";"1";"none";"Brightness";"ljusare";"1";"vert";"flat H";1;NA;"det f̦rsta var lite ljusare";NA;NA;NA;NA;"Swedish"
"1494";"swe19";"00:07:15.447";"16";"2";"none";"Brightness";"mörkare";"1";"vert";"flat H";1;NA;"och det andra lite m̦rkare";NA;NA;NA;NA;"Swedish"
"1500";"swe19";"00:07:41.780";"17";"1";"none";"Brightness";"ljusare";"0";NA;NA;NA;NA;"det f̦rsta var lite ljusare";NA;NA;NA;NA;"Swedish"
"1504";"swe19";"00:07:46.824";"17";"2";"none";"Height";"lägre";"1";"vert";"flat H";NA;NA;"den andra var lite l�_gre";NA;NA;NA;NA;"Swedish"
"1507";"swe19";"00:08:08.260";"18";"1";"gender";"Brightness";"ljus";"0";NA;NA;NA;NA;"det f̦rsta l�_t som en ljus mansk̦r";NA;NA;NA;NA;"Swedish"
"1511";"swe19";"00:08:19.732";"18";"2";"gender";"Height";"högre";"1";"vert";"flat H";1;NA;"det andra l�_t som en eh en kvinnok̦r som var. ja. lit i mitten lite h̦gre";NA;NA;NA;NA;"Swedish"
"1516";"swe19";"00:08:40.975";"19";"1";"gender";"Brightness";"ljus";"0";NA;NA;NA;NA;"och det andra som en ljus kvinnok̦r";NA;NA;NA;NA;"Swedish"
"1525";"swe19";"00:09:15.440";"20";"1";"none";"Brightness";"ljust";"0";NA;NA;NA;NA;"f̦rsta l�_t v�_ldigt ljust";NA;NA;NA;NA;"Swedish"
"1529";"swe19";"00:09:27.404";"20";"2";"none";"Brightness";"ljust";"0";NA;NA;NA;NA;"det var. v�_ldigt ljust";NA;NA;NA;NA;"Swedish"
"1536";"swe19";"00:09:48.361";"21";"2";"none";"Brightness";"har ";"1";"vert";"flat H";2;NA;"det andra d�_r har vi v�_ldigt m̦rk";NA;NA;NA;NA;"Swedish"
"1537";"swe19";"00:09:49.281";"21";"2";"none";"Brightness";"mörkt";"0";NA;NA;NA;NA;"det andra d�_r har vi v�_ldigt m̦rk";NA;NA;NA;NA;"Swedish"
"1540";"swe19";"00:10:07.087";"22";"1";"none";"Brightness";"mörkt";"0";NA;NA;NA;NA;"det det f̦rsta nu var v�_ldigt v�_ldigt m̦rkt";NA;NA;NA;NA;"Swedish"
"1541";"swe19";"00:10:08.340";"22";"1";"none";"Brightness";"mansk̦r";"1";"vert";"flat H";2;NA;"det det f̦rsta nu var v�_ldigt v�_ldigt m̦rkt";NA;NA;NA;NA;"Swedish"
"1544";"swe19";"00:10:12.683";"22";"2";"gender";"Height";"hög";"1";"vert";"flat H";1;NA;"medans den andra var eh l�_t som en kvinnok̦r som var h̦g";NA;NA;NA;NA;"Swedish"
"1548";"swe19";"00:10:32.244";"23";"1";"none";"Height";"högre";"1";"vert";"flat H";1;NA;"f̦rsta var lite h̦gre �_n den andra";NA;NA;NA;NA;"Swedish"
"1557";"swe19";"00:11:02.339";"24";"2";"gender";"Height";"hög";"1";"vert";"flat H";1;NA;"den andra l�_t som en kvinnok̦r som var v�_ldigt h̦g";NA;NA;NA;NA;"Swedish"
"1565";"swe19";"00:12:03.264";"26";"1";"none";"Brightness";"ljust";"1";"none";"open";2;NA;"det var ganska ljust";NA;NA;NA;NA;"Swedish"
"1567";"swe19";"00:12:06.898";"26";"2";"none";"Brightness";"ljust";"1";"none";"other";2;NA;"fast ocks̴ ganska ljust";NA;NA;NA;NA;"Swedish"
"1571";"swe2";"00:00:44.445";"1";"1";"tone";"Brightness";"ljusare";"1";NA;NA;NA;NA;"och det andra ljudet var samma A-ton fast betydigt ljusare";NA;NA;NA;NA;"Swedish"
"1576";"swe2";"00:03:15.450";"3";"1";"voice";"Brightness";"mörk";"0";NA;NA;NA;NA;"l̴ter som en k̦r av m�_n som har riktigt m̦rk r̦st";NA;NA;NA;NA;"Swedish"
"1578";"swe2";"00:03:18.945";"3";"2";"sound";"Brightness";"mörkare";"1";"none";"open";2;NA;"och sen samma ljud fast �_nnu m̦rkare";NA;NA;NA;NA;"Swedish"
"1582";"swe2";"00:04:01.440";"4";"1";"none";"Brightness";"mörkare";"1";"none";"open";2;NA;"men f̦rst kom det ett lit m̦rkare och sen kom det ett litet ljusare";NA;NA;NA;NA;"Swedish"
"1583";"swe2";"00:04:03.152";"4";"1";"none";"Brightness";"ljusare";"1";"none";"open";2;NA;"men f̦rst kom det ett lit m̦rkare och sen kom det ett litet ljusare";NA;NA;NA;NA;"Swedish"
"1586";"swe2";"00:04:45.980";"5";"1";"tone";"Brightness";"mörkt";"0";NA;NA;NA;NA;"f̦rst har vi en mansk̦ren A l̴ngt bak, bas, m̦rkt, och sen kommer det ett v�_ldigt ljust A";NA;NA;NA;NA;"Swedish"
"1587";"swe2";"00:04:47.935";"5";"1";"tone";"Brightness";"ljust";"1";"none";"none";2;NA;"f̦rst har vi en mansk̦ren A l̴ngt bak, bas, m̦rkt, och sen kommer det ett v�_ldigt ljust A";NA;NA;NA;NA;"Swedish"
"1592";"swe2";"00:05:37.759";"6";"1";"sound";"Height";"höga";"1";"none";"open";2;NA;"och sen det andra ljudet var ̴terigen det h�_r  v�_ldigt h̦ga";NA;NA;NA;NA;"Swedish"
"1597";"swe2";"00:06:49.320";"7";"1";"none";"Brightness";"ljusare";"1";"none";"open";2;NA;"det f̦rsta var ljusare �_n det andra";NA;NA;NA;NA;"Swedish"
"1598";"swe2";"00:06:50.390";"7";"1";"none";"Brightness";"andra";"1";"none";"open";2;NA;"det f̦rsta var ljusare �_n det andra";NA;NA;NA;NA;"Swedish"
"1602";"swe2";"00:07:44.865";"8";"1";"none";"Brightness";"ljusa";"1";"none";"open";2;NA;"f̦rst var det det h�_r superljusa";NA;NA;NA;NA;"Swedish"
"1606";"swe2";"00:07:58.842";"8";"2";"none";"Brightness";"mörkt";"1";"vert";"open";2;NA;"det var verkligen j�_ttem̦rkt";NA;NA;NA;NA;"Swedish"
"1611";"swe2";"00:08:46.305";"9";"1";"voice";"Brightness";"mörkt";"1";"vert";"flat H";1;NA;"och s̴ l�_gger de p̴ en basr̦st, absolut, men inte s̴ m̦rkt som, som Mordor";NA;NA;NA;NA;"Swedish"
"1618";"swe2";"00:09:44.937";"10";"1";"none";"Brightness";"mörkt";"1";NA;"open";2;NA;"och det andra var j�_ttem̦rkt, kommer l̴ngt fr̴n magen";NA;NA;NA;NA;"Swedish"
"1622";"swe2";"00:11:20.120";"11";"1";"tone";"Brightness";"ljusare";"1";"none";"none";2;NA;"och den andra tonen var betydligt ljusare";NA;NA;NA;NA;"Swedish"
"1626";"swe2";"00:12:25.540";"12";"1";"none";"Brightness";"ljusare";"1";"none";"open";1;NA;"d�_r den f̦rsta l�_t ljusare �_n den andra";NA;NA;NA;NA;"Swedish"
"1627";"swe2";"00:12:26.300";"12";"1";"none";"Brightness";"andra";"1";"none";"open";1;NA;"d�_r den f̦rsta l�_t ljusare �_n den andra";NA;NA;NA;NA;"Swedish"
"1630";"swe2";"00:13:41.600";"13";"1";"none";"Brightness";"ljus";"0";NA;NA;NA;NA;"ganska ljus �_nd̴";NA;NA;NA;NA;"Swedish"
"1633";"swe2";"00:14:27.239";"14";"1";"none";"Brightness";"mörkt";"0";NA;NA;NA;NA;"det f̦rsta var j�_ttem̦rkt";NA;NA;NA;NA;"Swedish"
"1636";"swe2";"00:14:33.123";"14";"2";"none";"Brightness";"ljust";"0";NA;NA;NA;NA;"och det andra var forhollandevis ljust";NA;NA;NA;NA;"Swedish"
"1642";"swe2";"00:15:21.000";"15";"1";"none";"Brightness";"ljusrare";"1";"none";"open";1;NA;"d�_r det f̦rsta l�_t lite ljusare �_n det andra";NA;NA;NA;NA;"Swedish"
"1650";"swe2";"00:16:26.960";"16";"1";"none";"Brightness";"ljusare";"0";NA;NA;NA;NA;"den andra var mycket ljusare";NA;NA;NA;NA;"Swedish"
"1656";"swe2";"00:17:57.980";"17";"1";"clip";"Brightness";"ljusa";"0";NA;NA;NA;NA;"n�_r var tv̴ v�_ldigt ljusa klipp";NA;NA;NA;NA;"Swedish"
"1658";"swe2";"00:18:02.345";"17";"2";"none";"Brightness";"ljusare";"0";NA;NA;NA;NA;"men det f̦rsta var lite ljusare";NA;NA;NA;NA;"Swedish"
"1660";"swe2";"00:18:06.302";"17";"3";"none";"Brightness";"mörkare";"1";"none";"open";2;NA;"och det andra var lite m̦rkare";NA;NA;NA;NA;"Swedish"
"1665";"swe2";"00:19:24.455";"18";"1";"clip";"Brightness";"ljusare";"0";NA;NA;NA;NA;"det andra klippet var ljusare �_n det f̦rsta";NA;NA;NA;NA;"Swedish"
"1669";"swe2";"00:20:25.520";"19";"1";"none";"Brightness";"mörkare";"0";NA;NA;NA;NA;"det f̦rsta var m̦rkare";NA;NA;NA;NA;"Swedish"
"1679";"swe20";"00:00:40.750";"1";"1";"none";"Height";"djupa";"1";"none";"none";2;NA;"b̴da var ret s̴ djupa";NA;NA;NA;NA;"Swedish"
"1683";"swe20";"00:01:21.370";"2";"1";"none";"Brightness";"ljusa";"1";"none";"open";2;NA;"b̴da var ret s̴ ljusa, men det andra var �_nnu ljusare �_n det f̦rsta";NA;NA;NA;NA;"Swedish"
"1684";"swe20";"00:01:23.590";"2";"1";"none";"Brightness";"ljusare";"1";"vert";"open";1;NA;"b̴da var ret s̴ ljusa, men det andra var �_nnu ljusare �_n det f̦rsta";NA;NA;NA;NA;"Swedish"
"1688";"swe20";"00:02:03.860";"3";"1";"none";"Brightness";"ljust";"1";"none";"open";2;NA;"det var ett eh ret s̴ ljust och sen ett som var �_nnu ljusare";NA;NA;NA;NA;"Swedish"
"1689";"swe20";"00:02:05.500";"3";"1";"none";"Brightness";"ljusare";"1";"vert";"none";2;NA;"det var ett eh ret s̴ ljust och sen ett som var �_nnu ljusare";NA;NA;NA;NA;"Swedish"
"1694";"swe20";"00:02:40.925";"4";"1";NA;"Brightness";"ljusare";"1";"none";"open";1;NA;"lite ̴t det ljusare h̴llet";NA;NA;NA;NA;"Swedish"
"1699";"swe20";"00:03:19.980";"5";"1";"none";"Brightness";"mörka";"1";NA;NA;NA;NA;"nu var dom . ret s̴ . m̦rka";NA;NA;NA;NA;"Swedish"
"1701";"swe20";"00:03:26.680";"5";"2";"none";"Height";"lägre";"1";"vert";"flat H";2;NA;"l�_gre";NA;NA;NA;NA;"Swedish"
"1705";"swe20";"00:03:59.710";"6";"1";"none";"Brightness";"mörkt";"1";"none";"none";1;NA;"f̦rst ett m̦rkt och sen ett ljust";NA;NA;NA;NA;"Swedish"
"1706";"swe20";"00:04:00.710";"6";"1";"none";"Brightness";"ljust";"1";"none";"none";1;NA;"f̦rst ett m̦rkt och sen ett ljust";NA;NA;NA;NA;"Swedish"
"1711";"swe20";"00:04:37.090";"7";"1";"none";"Brightness";"mörka";"0";NA;NA;NA;NA;"dom var ret s̴ m̦rka den h�_r g̴ngen men det andra var definitivt det m̦rkaste";NA;NA;NA;NA;"Swedish"
"1712";"swe20";"00:04:40.270";"7";"1";"none";"Brightness";"mörkaste";"1";"vert";"flat H";1;NA;"dom var ret s̴ m̦rka den h�_r g̴ngen men det andra var definitivt det m̦rkaste";NA;NA;NA;NA;"Swedish"
"1717";"swe20";"00:05:23.790";"8";"1";"none";"Brightness";"mörkt";"1";"none";"open";2;NA;"det f̦rsta var . alts̴ m̦rkt";NA;NA;NA;NA;"Swedish"
"1722";"swe20";"00:05:52.000";"9";"1";"none";"Brightness";"mörkt";"1";"vert";"open";2;"see next";"ja nu var det et v�_ldigt m̦rkt och sen ett v�_ldigt ljust";NA;NA;NA;NA;"Swedish"
"1723";"swe20";"00:05:53.185";"9";"1";"none";"Brightness";"ljust";"1";"vert";"open";2;NA;"ja nu var det et v�_ldigt m̦rkt och sen ett v�_ldigt ljust";NA;NA;NA;NA;"Swedish"
"1726";"swe20";"00:06:20.480";"10";"1";"none";"Brightness";"mörkt";"1";"none";"open";2;NA;"det f̦rsta var v�_ldigt v�_ldigt . m̦rkt";NA;NA;NA;NA;"Swedish"
"1728";"swe20";"00:06:30.130";"10";"2";"none";"Brightness";"ljusagtigt";"0";NA;NA;NA;NA;"det andra var mer ljusagtigt";NA;NA;NA;NA;"Swedish"
"1731";"swe20";"00:07:19.100";"11";"1";"none";"Brightness";"ljusa";"1";"none";"open";2;NA;"nu var dom b̴da lite mer ̴t det ljusa h̴llet";NA;NA;NA;NA;"Swedish"
"1734";"swe20";"00:07:28.324";"11";"2";"none";"Brightness";"ljus";"1";"none";"none";1;NA;"det andra var lite mer .. ljus";NA;NA;NA;NA;"Swedish"
"1737";"swe20";"00:07:54.602";"12";"1";"none";"Brightness";"mörka";"1";"none";"open";2;NA;"nu var dom b̴da mer .. m̦rka";NA;NA;NA;NA;"Swedish"
"1741";"swe20";"00:08:33.607";"13";"1";"none";"Brightness";"mörka";"1";"none";"open";1;NA;"b̴da var ret s̴ m̦rka den h�_r g̴ngen, men det andra var lite lite ljusare";NA;NA;NA;NA;"Swedish"
"1742";"swe20";"00:08:35.289";"13";"1";"none";"Brightness";"ljusare";"1";"none";"narow grip";1;NA;"b̴da var ret s̴ m̦rka den h�_r g̴ngen, men det andra var lite lite ljusare";NA;NA;NA;NA;"Swedish"
"1749";"swe20";"00:09:10.747";"14";"1";"sound";"Brightness";"ljust";"1";"vert";"open";1;NA;"det var ett v�_ldigt g�_llt och ljust ljud f̦rst och sen ett v�_ldigt l̴gt";NA;NA;NA;NA;"Swedish"
"1752";"swe20";"00:09:13.062";"14";"1";"none";"Height";"lågt";"1";"vert";"flat H";1;"see before";"det var ett v�_ldigt g�_llt och ljust ljud f̦rst och sen ett v�_ldigt l̴gt";NA;NA;NA;NA;"Swedish"
"1756";"swe20";"00:09:34.030";"15";"1";"none";"Brightness";"ljusa";"0";NA;NA;NA;NA;"b̴da var ret s̴ ljusa";NA;NA;NA;NA;"Swedish"
"1767";"swe20";"00:10:42.789";"16";"2";"none";"Brightness";"ljusare";"1";NA;NA;NA;NA;"sen det andra var lite ljusare";NA;NA;NA;NA;"Swedish"
"1768";"swe20";"00:10:42.999";"16";"2";"none";"Brightness";"ljusare";"1";"vert";"open";1;NA;"sen det andra var lite ljusare";NA;NA;NA;NA;"Swedish"
"1771";"swe20";"00:11:03.199";"17";"1";"none";"Brightness";"ljusa";"0";NA;NA;NA;NA;"b̴da var ret s̴ ljusa, men det f̦rsta k�_ndes mer .. ljust p̴ n̴got sett . �_n det andra";NA;NA;NA;NA;"Swedish"
"1772";"swe20";"00:11:06.554";"17";"1";"none";"Brightness";"ljust";"0";NA;NA;NA;NA;"b̴da var ret s̴ ljusa, men det f̦rsta k�_ndes mer .. ljust p̴ n̴got sett . �_n det andra";NA;NA;NA;NA;"Swedish"
"1779";"swe20";"00:11:54.582";"18";"1";"none";"Brightness";"ljust";"1";"none";"open";1;NA;"det var f̦rst . ett v�_ldigt ljust sen ett lite mindre ljust";NA;NA;NA;NA;"Swedish"
"1780";"swe20";"00:11:55.766";"18";"1";"none";"Brightness";"ljust";"1";"vert";"flat H";1;NA;"det var f̦rst . ett v�_ldigt ljust sen ett lite mindre ljust";NA;NA;NA;NA;"Swedish"
"1784";"swe20";"00:12:27.547";"19";"1";"none";"Brightness";"ljust";"0";NA;NA;NA;NA;"nu var det ett eh. v�_ldigt ljust .. och sen, det andra var mer . dovt och m̦rkt";NA;NA;NA;NA;"Swedish"
"1785";"swe20";"00:12:33.267";"19";"1";"none";"Brightness";"mörkt";"1";"vert";"flat H";1;NA;"nu var det ett eh. v�_ldigt ljust .. och sen, det andra var mer . dovt och m̦rkt";NA;NA;NA;NA;"Swedish"
"1788";"swe20";"00:12:57.370";"20";"1";"sound";"Brightness";"mörka";"1";"none";"open";1;NA;"det var ret s̴ . m̦rka dova ljud";NA;NA;NA;NA;"Swedish"
"1793";"swe20";"00:13:31.790";"21";"1";"none";"Brightness";"ljusare";"1";"none";"open";2;NA;"det var det ljusare h̴llet";NA;NA;NA;NA;"Swedish"
"1796";"swe20";"00:14:04.180";"22";"1";"sound";"Brightness";"ljust";"0";NA;NA;NA;NA;"det var ett v�_ldigt ljust ljud och sen v�_ldigt eh m̦rkt";NA;NA;NA;NA;"Swedish"
"1797";"swe20";"00:14:06.220";"22";"1";"sound";"Brightness";"mörkt";"0";NA;NA;NA;NA;"det var ett v�_ldigt ljust ljud och sen v�_ldigt eh m̦rkt";NA;NA;NA;NA;"Swedish"
"1800";"swe20";"00:14:35.840";"23";"1";"none";"Brightness";"ljusare";"1";"none";"open";1;NA;"det var �_nnu lite mot det ljusare h̴llet och sen var det ett v�_ldigt v�_ldigt m̦rkt";NA;NA;NA;NA;"Swedish"
"1801";"swe20";"00:14:38.240";"23";"1";"none";"Brightness";"mörkt";"1";"vert";"none";2;NA;"det var �_nnu lite mot det ljusare h̴llet och sen var det ett v�_ldigt v�_ldigt m̦rkt";NA;NA;NA;NA;"Swedish"
"1805";"swe20";"00:15:00.670";"24";"1";"none";"Brightness";"ljusa";"0";NA;NA;NA;NA;"b̴da var ret s̴ ljusa, men det andra .  mer ljust �_n det f̦rsta";NA;NA;NA;NA;"Swedish"
"1806";"swe20";"00:15:03.455";"24";"1";"none";"Brightness";"ljust";"0";NA;NA;NA;NA;"b̴da var ret s̴ ljusa, men det andra .  mer ljust �_n det f̦rsta";NA;NA;NA;NA;"Swedish"
"1812";"swe20";"00:15:39.850";"25";"1";"none";"Brightness";"mörkare";"1";"vert";"none";2;NA;"det f̦rsta var. lite ̴t det m̦rkare h̴llet och det andra var lite ̴t det ljusare h̴llet";NA;NA;NA;NA;"Swedish"
"1813";"swe20";"00:15:41.445";"25";"1";"none";"Brightness";"ljusare";"1";"vert";"open";2;"see before";"det f̦rsta var. lite ̴t det m̦rkare h̴llet och det andra var lite ̴t det ljusare h̴llet";NA;NA;NA;NA;"Swedish"
"1816";"swe21";"00:00:26.490";"1";"1";"none";"Brightness";"ljusare";"1";"none";"narow grip";1;NA;"och andra var ljusare �_n f̦rsta";NA;NA;NA;NA;"Swedish"
"1817";"swe21";"00:00:27.360";"1";"1";"none";"Brightness";"f̦rsta";"1";"none";"none";1;NA;"och andra var ljusare �_n f̦rsta";NA;NA;NA;NA;"Swedish"
"1820";"swe21";"00:01:33.709";"2";"1";"none";"Height";"högt";"1";"none";"open";1;NA;"det f̦rsta var �nd̴ ganska h̦gt";NA;NA;NA;NA;"Swedish"
"1823";"swe21";"00:01:46.459";"2";"2";"none";"Height";"högre";"1";"none";"open";1;NA;"det andra var h̦gre";NA;NA;NA;NA;"Swedish"
"1827";"swe21";"00:03:24.903";"3";"1";"tone";"Height";"högre upp";"1";"vert";"point";2;NA;"det l�_t eh det var. liksom den l̴g h̦gre upp �_n den tonen som m�_nnene sj̦ng";NA;NA;NA;NA;"Swedish"
"1831";"swe21";"00:04:01.450";"4";"1";"gender";"Height";"lägre";"1";"vert";"none";2;NA;"m�_nnene sj̦ng l�_gre �_n medel och kvinnorna som sj̦ng . h̦gre �_n medel";NA;NA;NA;NA;"Swedish"
"1832";"swe21";"00:04:04.495";"4";"1";"gender";"Height";"högre";"1";"vert";"none";1;"see context";"m�_nnene sj̦ng l�_gre �_n medel och kvinnorna som sj̦ng . h̦gre �_n medel";NA;NA;NA;NA;"Swedish"
"1836";"swe21";"00:05:22.231";"5";"1";"gender";"Height";"högre";"1";"none";"none";1;NA;"det f̦rst b̦rjade med kvinnor som sj̦ng h̦gre �_n naturligt, och sen s̴ var det m�_n som (  ) sj̦ng l�_gre";NA;NA;NA;NA;"Swedish"
"1837";"swe21";"00:05:27.056";"5";"1";"gender";"Height";"lägre";"1";"none";"none";1;NA;"det f̦rst b̦rjade med kvinnor som sj̦ng h̦gre �_n naturligt, och sen s̴ var det m�_n som (  ) sj̦ng l�_gre";NA;NA;NA;NA;"Swedish"
"1840";"swe21";"00:06:01.265";"6";"1";"none";"Height";"lägre";"1";"none";"open";2;NA;"det k�_ndes som det gick fr̴n att sjunga . l�_gre";NA;NA;NA;NA;"Swedish"
"1844";"swe21";"00:06:12.100";"6";"2";"tone";"Height";"upp";"1";"none";"open";2;NA;"och sen gick det  ( ) ett lite steg . upp fr̴n den ton";NA;NA;NA;NA;"Swedish"
"1847";"swe21";"00:07:23.660";"7";"1";"tone";"Height";"upp";"1";"none";"none";1;NA;"det v- det var nu ganska stort steg upp fr̴n f̦rsta tonen";NA;NA;NA;NA;"Swedish"
"1850";"swe21";"00:08:00.755";"8";"1";"none";"Height";"låg";"1";"none";"none";1;NA;"f̦rsta var .. eh. lite l̴g liksom, och den andra var j�_tte l̴g";NA;NA;NA;NA;"Swedish"
"1851";"swe21";"00:08:04.757";"8";"1";"none";"Height";"låg";"1";"none";"neutral grip";2;NA;"f̦rsta var .. eh. lite l̴g liksom, och den andra var j�_tte l̴g";NA;NA;NA;NA;"Swedish"
"1856";"swe21";"00:09:08.546";"9";"1";"none";"Brightness";"ljust";"0";NA;NA;NA;NA;"det f̦rsta var v�_ldigt ljus och den andra var s̴ h�_r .. den var l�_gre";NA;NA;NA;NA;"Swedish"
"1858";"swe21";"00:09:15.621";"9";"1";"none";"Height";"lägre";"0";NA;NA;NA;NA;"det f̦rsta var v�_ldigt ljus och den andra var s̴ h�_r .. den var l�_gre";NA;NA;NA;NA;"Swedish"
"1862";"swe21";"00:10:03.750";"10";"1";"none";"Height";"lågt";"1";"none";"none";2;NA;"f̦rst h�_r medel l̴gt och sen ett lite steg upp";NA;NA;NA;NA;"Swedish"
"1863";"swe21";"00:10:06.635";"10";"1";"none";"Height";"upp";"1";"none";"none";2;NA;"f̦rst h�_r medel l̴gt och sen ett lite steg upp";NA;NA;NA;NA;"Swedish"
"1867";"swe21";"00:10:26.370";"11";"1";"gender";"Height";"högt";"0";NA;NA;NA;NA;"kvinnok̦r . medel . medel . h̦gt (  ) p̴ normal niv̴ .. och sen . eh. och sen s̴ mansk̦r som l�_t riktigt m̦rkt";NA;NA;NA;NA;"Swedish"
"1868";"swe21";"00:10:36.272";"11";"1";"gender";"Brightness";"mörk";"1";"none";"open";1;NA;"kvinnok̦r . medel . medel . h̦gt (  ) p̴ normal niv̴ .. och sen . eh. och sen s̴ mansk̦r som l�_t riktigt m̦rkt";NA;NA;NA;NA;"Swedish"
"1872";"swe21";"00:11:05.145";"12";"1";"none";"Height";"̦ver";"1";"none";"other";2;NA;"som gick eh fr̴n, s̴ h�_r, lite ̦ver normalt kanske, s̴ eh.. och sen s̴ gick den ner ett . n̴gra steg";NA;NA;NA;NA;"Swedish"
"1873";"swe21";"00:11:10.870";"12";"1";"none";"Height";"ner";"0";NA;NA;NA;NA;"som gick eh fr̴n, s̴ h�_r, lite ̦ver normalt kanske, s̴ eh.. och sen s̴ gick den ner ett . n̴gra steg";NA;NA;NA;NA;"Swedish"
"1876";"swe21";"00:11:36.221";"13";"1";"none";"Brightness";"ljus";"1";"none";"open";1;NA;"f̦rsta j�_tte ljus";NA;NA;NA;NA;"Swedish"
"1880";"swe21";"00:11:54.187";"13";"2";"none";"Brightness";"mörk";"1";"none";"open";1;NA;"men som var liksom m̦rk";NA;NA;NA;NA;"Swedish"
"1885";"swe21";"00:12:29.045";"14";"1";"gender";"Height";"upp";"0";NA;NA;NA;NA;"kvinnok̦ren sj̦ng ̴t det, normal niv̴ och sen gick mansk̦ren lite upp";NA;NA;NA;NA;"Swedish"
"1889";"swe21";"00:13:20.331";"15";"1";"gender";"Brightness";"ljus";"1";"none";"other";1;NA;"det var v�_ldigt s̴ h�_r neutral niv̴ p̴ det f̦rsta, och sen s̴ n�_sta var kvinnok̦r v�_ldig ljus";NA;NA;NA;NA;"Swedish"
"1892";"swe21";"00:13:48.894";"16";"1";"none";"Height";"låg";"0";NA;NA;NA;NA;"halv l̴g och sen kvinnok̦r v�_ldig ljust";NA;NA;NA;NA;"Swedish"
"1893";"swe21";"00:13:52.309";"16";"1";"gender";"Brightness";"ljust";"1";"none";"other";2;NA;"halv l̴g och sen kvinnok̦r v�_ldig ljust";NA;NA;NA;NA;"Swedish"
"1896";"swe21";"00:14:12.736";"17";"1";"none";"Height";"lågt";"0";NA;NA;NA;NA;"f̦rst typ . antingen kvinnok̦r som sj̦ng l̴gt";NA;NA;NA;NA;"Swedish"
"1899";"swe21";"00:14:24.186";"17";"2";"tone";"Height";"lägre";"1";"none";"flat H";1;NA;"sen mansk̦r som sj̦ng antingen samma ton eller n̴gon ton l�_gre";NA;NA;NA;NA;"Swedish"
"1902";"swe21";"00:14:58.350";"18";"1";"none";"Height";"högt";"0";NA;NA;NA;NA;"kvinnok̦r som sj̦ng h̦gt";NA;NA;NA;NA;"Swedish"
"1905";"swe21";"00:15:11.840";"18";"2";"none";"Height";"lägre";"1";"none";"point";1;NA;"sen n�_sta s- var l�_gre �_n det f̦rsta";NA;NA;NA;NA;"Swedish"
"1908";"swe21";"00:15:43.010";"19";"1";"gender";"Brightness";"ljust";"0";NA;NA;NA;NA;"f̦rst j�_tte ljust kvinnok̦r sen m̦rkt mansk̦r";NA;NA;NA;NA;"Swedish"
"1909";"swe21";"00:15:46.850";"19";"1";"gender";"Brightness";"mörkt";"0";NA;NA;NA;NA;"f̦rst j�_tte ljust kvinnok̦r sen m̦rkt mansk̦r";NA;NA;NA;NA;"Swedish"
"1913";"swe21";"00:16:28.770";"20";"1";"gender";"Height";"upp";"0";NA;NA;NA;NA;"kvinnok̦ren var lite upp . fr̴n eh. mansk̦ren";NA;NA;NA;NA;"Swedish"
"1916";"swe21";"00:16:57.171";"21";"1";"none";"Height";"lågt";"1";"none";"none";1;NA;"den ena l̴gt och sen n�_sta l�_gre";NA;NA;NA;NA;"Swedish"
"1917";"swe21";"00:16:59.486";"21";"1";"none";"Height";"lägre";"1";"none";"none";1;NA;"den ena l̴gt och sen n�_sta l�_gre";NA;NA;NA;NA;"Swedish"
"1922";"swe21";"00:17:21.875";"22";"1";"none";"Height";"lågt";"0";NA;NA;NA;NA;"den ena l̴gt";NA;NA;NA;NA;"Swedish"
"1926";"swe21";"00:17:27.860";"22";"2";"none";"Height";"upp";"1";"vert";"point";1;NA;"och sen s̴ n̴sta ett ste- eh upp";NA;NA;NA;NA;"Swedish"
"1931";"swe21";"00:17:54.299";"23";"1";"gender";"Brightness";"ljust";"0";NA;NA;NA;NA;"f̦rst en mansk̦r som sj̦ng ganska ljust f̦r att vara mansk̦r och sen en kvinnok̦r som sj̦ng h̦gre";NA;NA;NA;NA;"Swedish"
"1932";"swe21";"00:17:58.864";"23";"1";"none";"Height";"högre";"1";"vert";"point";1;NA;"f̦rst en mansk̦r som sj̦ng ganska ljust f̦r att vara mansk̦r och sen en kvinnok̦r som sj̦ng h̦gre";NA;NA;NA;NA;"Swedish"
